Queue Group/Line of Business,Month,Year,Calls Handled,Average Wait Time (minutes),,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Jan,2016,678,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Feb,2016,645,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Mar,2016,585,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Apr,2016,566,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),May,2016,640,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Jun,2016,"1,142",0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Jul,2016,728,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Aug,2016,668,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Sep,2016,663,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Oct,2016,564,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Nov,2016,767,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Dec,2016,714,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Jan,2017,570,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Feb,2017,457,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Mar,2017,636,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Apr,2017,"1,465",1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),May,2017,"1,583",2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Jun,2017,"1,712",2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Jul,2017,"2,063",1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
